Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"S/E/C Broadway & Morris","2403927","Trash","HC4","High","In Service","60%","Disabled","11 hours ago","40.705779434046164","-74.01325108465574"
"S/E/C Broadway & Morris","2403927-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.705779434046164","-74.01325108465574"
"S/E/C Broadway & Pine St.","1401727","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.7082627389529","-74.011272064418"
"S/E/C Broadway & Pine St.","1401727-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.7082627389529","-74.011272064418"
"S/E/C Broadway & Wall St","2404255","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.707707226913804","-74.01173570552254"
"S/E/C Broadway & Wall St","2404255-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.707707226913804","-74.01173570552254"
"S/E/C Cedar St & Trinity Pl","2403966","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70927797171856","-74.01193467168883"
"S/E/C Cedar St & Trinity Pl","2403966-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70927797171856","-74.01193467168883"
"S/E/C Church St & Barclays St.","2403817","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.712627647101115","-74.00965207116394"
"S/E/C Church St & Barclays St.","2403817-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.712627647101115","-74.00965207116394"
"S/E/C Fulton St & Broadway","2403838","Trash","HC4","High","In Service","80%","Disabled","3 hours ago","40.710809532245655","-74.0089701195219"
"S/E/C Fulton St & Broadway","2403838-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.710809532245655","-74.0089701195219"
"S/E/C Fulton St & Church St","2403919","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.71142337663489","-74.010423434762"
"S/E/C Fulton St & Church St","2403919-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71142337663489","-74.010423434762"
"S/E/C Fulton St & Cliff St","2403994","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70835113596114","-74.004794582209"
"S/E/C Fulton St & Cliff St","2403994-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70835113596114","-74.004794582209"
"S/E/C Fulton St & Dutch St","2404073","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.709850593143045","-74.00701668282073"
"S/E/C Fulton St & Dutch St","2404073-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.709850593143045","-74.00701668282073"
"S/E/C Fulton St & Nassau St","1401736","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.710111424390185","-74.00766482488405"
"S/E/C Fulton St & Nassau St","1401736-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.710111424390185","-74.00766482488405"
"S/E/C Fulton St & Pearl St","2404002","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.707770984266126","-74.00431926445276"
"S/E/C Fulton St & Pearl St","2404002-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.707770984266126","-74.00431926445276"
"S/E/C Fulton St & Ryders Al","2403993","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.7089122185679","-74.00523539447744"
"S/E/C Fulton St & Ryders Al","2403993-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7089122185679","-74.00523539447744"
"S/E/C Gold St & Platt St","2404029","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.7077910676342","-74.0068187055225"
"S/E/C Gold St & Platt St","2404029-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.7077910676342","-74.0068187055225"
"S/E/C John St & William St","2404000","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70861527839838","-74.00728364171619"
"S/E/C John St & William St","2404000-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70861527839838","-74.00728364171619"
"S/E/C Liberty & William St","2404017","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70769236845295","-74.00825650674591"
"S/E/C Liberty & William St","2404017-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70769236845295","-74.00825650674591"
"S/E/C Liberty St & Broadway","2404248","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70906527213004","-74.01050552023776"
"S/E/C Liberty St & Broadway","2404248-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70906527213004","-74.01050552023776"
"S/E/C Maiden La & Front St","2404015","Trash","HC4","High","In Service","60%","Disabled","10 hours ago","40.705725259512576","-74.00549157177562"
"S/E/C Maiden La & Front St","2404015-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.705725259512576","-74.00549157177562"
"S/E/C Maiden La & Pearl St","2404031","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70664650225397","-74.00673599447748"
"S/E/C Maiden La & Pearl St","2404031-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70664650225397","-74.00673599447748"
"S/E/C Maiden La & Water St","2404028","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70610836725775","-74.00603158773151"
"S/E/C Maiden La & Water St","2404028-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70610836725775","-74.00603158773151"
"S/E/C Maiden Ln & Gold St","2404067","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70715003488309","-74.0074227509262"
"S/E/C Maiden Ln & Gold St","2404067-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70715003488309","-74.0074227509262"
"S/E/C Murray & Greenwich","2403833","Trash","HC4","High","In Service","60%","Disabled","41 minutes ago","40.714779986623405","-74.01128276931149"
"S/E/C Murray & Greenwich","2403833-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.714779986623405","-74.01128276931149"
"S/E/C Murray St & West St","2403834","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.715106483380595","-74.01302340978702"
"S/E/C Murray St & West St","2403834-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.715106483380595","-74.01302340978702"
"S/E/C Old Slip & Water St","2403892","Trash","HC4","High","In Service","60%","Disabled","15 minutes ago","40.704168","-74.00884959999996"
"S/E/C Old Slip & Water St","2403892-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.704168","-74.00884959999996"
"S/E/C Park Pl & Greenwich St","2403839","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.71415808540801","-74.01145354047549"
"S/E/C Park Pl & Greenwich St","2403839-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71415808540801","-74.01145354047549"
"S/E/C Park Row & Spruce St","2403986","Trash","HC4","High","In Service","60%","Disabled","8 hours ago","40.71191079553688","-74.00608741779098"
"S/E/C Park Row & Spruce St","2403986-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71191079553688","-74.00608741779098"
"S/E/C Vessy St & Church St","2404070","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.71186190569286","-74.00991558977069"
"S/E/C Vessy St & Church St","2404070-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71186190569286","-74.00991558977069"
"S/E/C WashingtonSt & Rector St","2403961","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.708127175387986","-74.01441571502761"
"S/E/C WashingtonSt & Rector St","2403961-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.708127175387986","-74.01441571502761"
"S/E/C Water & Coenties Sl","2404189","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.703251815074","-74.01016244680483"
"S/E/C Water & Coenties Sl","2404189-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.703251815074","-74.01016244680483"
"S/E/C Water St & Broad St","2404068","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70286973117928","-74.01156394418035"
"S/E/C Water St & Broad St","2404068-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70286973117928","-74.01156394418035"
"S/E/C Water St & Gouverneur La","2404175","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70459789603922","-74.00808105260927"
"S/E/C Water St & Gouverneur La","2404175-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70459789603922","-74.00808105260927"
"S/E/C Water St & Moore St","2404177","Trash","HC4","High","In Service","60%","Disabled","8 hours ago","40.70274346926414","-74.01225725204546"
"S/E/C Water St & Moore St","2404177-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70274346926414","-74.01225725204546"
"S/E/C Water St & Old Sl","2404179","Trash","HC4","High","In Service","60%","Disabled","14 minutes ago","40.704012293161924","-74.00897154600221"
"S/E/C Water St & Old Sl","2404179-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.704012293161924","-74.00897154600221"
"S/E/C Water St. & Wall St.","2404172","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.70510233363274","-74.00740636441805"
"S/E/C Water St. & Wall St.","2404172-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70510233363274","-74.00740636441805"
"S/E/C West St.& Morris St","2403963","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.70662460395519","-74.01593116312102"
"S/E/C West St.& Morris St","2403963-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70662460395519","-74.01593116312102"
"S/E/C Whitehall St & Bridge St","2403923","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.703485831853314","-74.0130096472214"
"S/E/C Whitehall St & Bridge St","2403923-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.703485831853314","-74.0130096472214"
"S/E/C William St & Ann St","2404081","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.709764815329436","-74.00600988465578"
"S/E/C William St & Ann St","2404081-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.709764815329436","-74.00600988465578"
"S/E/C William St & Beekman St","2403998","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.71037123844074","-74.0056377110451"
"S/E/C William St & Beekman St","2403998-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71037123844074","-74.0056377110451"
"S/E/C William St & Wall St","2404069","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70635761759798","-74.0095195006117"
"S/E/C William St & Wall St","2404069-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70635761759798","-74.0095195006117"
"S/E/C Williams St & Beaver St","2404178","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70512293336345","-74.00993572883601"
"S/E/C Williams St & Beaver St","2404178-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70512293336345","-74.00993572883601"
"S/W/C  Broadway & Park  Pl","2404247","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.712483693353626","-74.00775235929888"
"S/W/C  Broadway & Park  Pl","2404247-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.712483693353626","-74.00775235929888"
"S/W/C Ann St & Nassau St","2403999","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.71060306575596","-74.00742942638931"
"S/W/C Ann St & Nassau St","2403999-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71060306575596","-74.00742942638931"
"S/W/C Beaver St & Broad St","2404027","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.704894933621674","-74.01164843743436"
"S/W/C Beaver St & Broad St","2404027-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.704894933621674","-74.01164843743436"
"S/W/C Beaver St & New St","2403924","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70497917616238","-74.01274127794034"
"S/W/C Beaver St & New St","2403924-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70497917616238","-74.01274127794034"
"S/W/C Broad St & Stone St","2403917","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70397703294562","-74.0116423441803"
"S/W/C Broad St & Stone St","2403917-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70397703294562","-74.0116423441803"
"S/W/C Broadway & Cedar St","2404018","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.708804667943625","-74.01096718836061"
"S/W/C Broadway & Cedar St","2404018-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.708804667943625","-74.01096718836061"
"S/W/C Broadway & Liberty St.","2403913","Trash","HC4","High","In Service","60%","Disabled","43 minutes ago","40.709075185355445","-74.01070491220321"
"S/W/C Broadway & Liberty St.","2403913-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.709075185355445","-74.01070491220321"
"S/W/C Broadway & Morris St","2404246","Trash","HC4","High","In Service","60%","Disabled","10 hours ago","40.70579163383491","-74.01342811045072"
"S/W/C Broadway & Morris St","2404246-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70579163383491","-74.01342811045072"
"S/W/C Broadway & Rector St.","1401740","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.7073969345211","-74.0120977460327"
"S/W/C Broadway & Rector St.","1401740-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7073969345211","-74.0120977460327"
"S/W/C Broadway & Thames St","2404251","Trash","HC4","High","In Service","60%","Disabled","12 minutes ago","40.70857826860218","-74.01116968836061"
"S/W/C Broadway & Thames St","2404251-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70857826860218","-74.01116968836061"
"S/W/C Broadway & Vesey St","1401732","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.71137993004505","-74.00876108836053"
"S/W/C Broadway & Vesey St","1401732-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71137993004505","-74.00876108836053"
"S/W/C Broadway & Wall St ( Trinity Church )","1511589","Trash","HC5","High","In Service","60%","Disabled","2 hours ago","40.707738812443","-74.0118074712334"
"S/W/C Broadway & Wall St ( Trinity Church )","1511589-left","Bottles/Cans","SCC5","Standard","In Service","80%","Disabled","","40.707738812443","-74.0118074712334"
"S/W/C Church St & Murray St","2403840","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.713766538923586","-74.00894041045075"
"S/W/C Church St & Murray St","2403840-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.713766538923586","-74.00894041045075"
"S/W/C Coenties & Pearl St","2404181","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70383085064415","-74.01055214293956"
"S/W/C Coenties & Pearl St","2404181-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70383085064415","-74.01055214293956"
"S/W/C Gold St & Beekman St","2403996","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70962497441661","-74.00492242631987"
"S/W/C Gold St & Beekman St","2403996-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70962497441661","-74.00492242631987"
"S/W/C Greenwich St & Morris St","2403968","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70619558207395","-74.01441839723662"
"S/W/C Greenwich St & Morris St","2403968-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70619558207395","-74.01441839723662"
"S/W/C Greenwich St & Park Pl","2404076","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.71427193568993","-74.01161983743441"
"S/W/C Greenwich St & Park Pl","2404076-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71427193568993","-74.01161983743441"
"S/W/C John St & Pearl St","2404014","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70746174381663","-74.00559325040138"
"S/W/C John St & Pearl St","2404014-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70746174381663","-74.00559325040138"
"S/W/C Murray & Greenwich St","2404052","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.71487423890818","-74.01151629630408"
"S/W/C Murray & Greenwich St","2404052-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71487423890818","-74.01151629630408"
"S/W/C Murray & W Broadway","2403991","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.714381833928826","-74.01025355277864"
"S/W/C Murray & W Broadway","2403991-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.714381833928826","-74.01025355277864"
"S/W/C Murray St & Broadway","2403835","Trash","HC4","High","In Service","80%","Disabled","16 minutes ago","40.71311096770268","-74.0073730325409"
"S/W/C Murray St & Broadway","2403835-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71311096770268","-74.0073730325409"
"S/W/C Old Slip & Front St","1400812","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70375496347067","-74.00843482710513"
"S/W/C Old Slip & Front St","1400812-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70375496347067","-74.00843482710513"
"S/W/C Park Pl & West Broadway","2403820","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.71382583558095","-74.01084229206543"
"S/W/C Park Pl & West Broadway","2403820-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71382583558095","-74.01084229206543"
"S/W/C South St & Broad St.","2404176","Trash","HC4","High","In Service","60%","Disabled","11 minutes ago","40.70180717675453","-74.01125166497712"
"S/W/C South St & Broad St.","2404176-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70180717675453","-74.01125166497712"
"S/W/C State  St & Pearl St","2404072","Trash","HC4","High","In Service","60%","Disabled","39 minutes ago","40.70312390517423","-74.01449431876296"
"S/W/C State  St & Pearl St","2404072-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70312390517423","-74.01449431876296"
"S/W/C State St & Broadway","2403916","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70441553279569","-74.01434607974488"
"S/W/C State St & Broadway","2403916-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70441553279569","-74.01434607974488"
"S/W/C State St & Pearl St","2403926","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.70314009945779","-74.01446205767212"
"S/W/C State St & Pearl St","2403926-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70314009945779","-74.01446205767212"
"S/W/C State St & South Ferry W Recy 6401308","2404259","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.702364167611385","-74.0139445046463"
"S/W/C State St & South Ferry W Recy 6401308","2404259-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.702364167611385","-74.0139445046463"
"S/W/C Trinity Pl & Edgar St","2403970","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70689502864975","-74.0136566498764"
"S/W/C Trinity Pl & Edgar St","2403970-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70689502864975","-74.0136566498764"
"S/W/C Trinity Pl & Thames St","2403957","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.70895672668726","-74.0122350790985"
"S/W/C Trinity Pl & Thames St","2403957-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70895672668726","-74.0122350790985"
"S/W/C Wall St & Front St","2404252","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.704809566596985","-74.00705463498764"
"S/W/C Wall St & Front St","2404252-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.704809566596985","-74.00705463498764"
"S/W/C Wall St & Hanover St","2404080","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.70597538385071","-74.0088014656414"
"S/W/C Wall St & Hanover St","2404080-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70597538385071","-74.0088014656414"
"S/W/C Wall St & Pearl St","2404173","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.705532165743215","-74.0080184110451"
"S/W/C Wall St & Pearl St","2404173-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.705532165743215","-74.0080184110451"
"S/W/C Washington St & Morris","2403912","Trash","HC4","High","In Service","60%","Disabled","35 minutes ago","40.70641345963776","-74.01513675903436"
"S/W/C Washington St & Morris","2403912-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70641345963776","-74.01513675903436"
"S/W/C Water & Fulton .","2403819","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.70743912248969","-74.0042347093572"
"S/W/C Water & Fulton .","2403819-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70743912248969","-74.0042347093572"
"S/W/C Water St & Coenties Slip","2404183","Trash","HC4","High","In Service","60%","Disabled","21 minutes ago","40.70330782350155","-74.01033971391206"
"S/W/C Water St & Coenties Slip","2404183-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70330782350155","-74.01033971391206"
"S/W/C Whitehall St & Water St","2403928","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.702417396226046","-74.01286306726934"
"S/W/C Whitehall St & Water St","2403928-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.702417396226046","-74.01286306726934"
"S/W/C William St & Beekman St","2403922","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.71036736120512","-74.00573887101609"
"S/W/C William St & Beekman St","2403922-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71036736120512","-74.00573887101609"
"S/W/C William St & Fulton St","2404253","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.709573233635155","-74.0065185171967"
"S/W/C William St & Fulton St","2404253-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.709573233635155","-74.0065185171967"
"State St & Battery PL 4 Train Entrance.","2403976","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70439762500675","-74.01434530704097"
"State St & Battery PL 4 Train Entrance.","2403976-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70439762500675","-74.01434530704097"
"Staten Island Ferry ( Peter Minuit Plaza )","2404249","Trash","HC4","High","In Service","60%","Disabled","8 hours ago","40.70186684223753","-74.01314045667431"
"Staten Island Ferry ( Peter Minuit Plaza )","2404249-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70186684223753","-74.01314045667431"
"SWC Broadway & Dey","1502200","Trash","HC5","High","In Service","60%","Disabled","27 minutes ago","40.710426202127216","-74.0096079460327"
"SWC Broadway & Dey","1502200-left","Bottles/Cans","SCC5","Standard","In Service","80%","Disabled","","40.710426202127216","-74.0096079460327"
"Wall St. Park Between Front & South","2404184","Trash","HC4","High","In Service","60%","Disabled","18 minutes ago","40.70459858395017","-74.00660997091677"
"Wall St. Park Between Front & South","2404184-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70459858395017","-74.00660997091677"
"Water St. & Pine St. between Wall & Maiden","2404180","Trash","HC4","High","In Service","60%","Disabled","12 minutes ago","40.70560899832268","-74.00668505886074"
"Water St. & Pine St. between Wall & Maiden","2404180-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70560899832268","-74.00668505886074"
