Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"N/E/C Church St & Dey St","2403822-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71103983021118","-74.01065741163939"
"N/E/C fulton St & Church St","2403841","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.711475302584454","-74.01033348357123"
"N/E/C fulton St & Church St","2403841-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.711475302584454","-74.01033348357123"
"N/E/C Fulton St & Pearl St (Park)","2403990","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.707781150452895","-74.00419722394258"
"N/E/C Fulton St & Pearl St (Park)","2403990-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.707781150452895","-74.00419722394258"
"N/E/C John St & Broadway. ( I.F.O Train station )","2403925","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.71016881998067","-74.00920505379793"
"N/E/C John St & Broadway. ( I.F.O Train station )","2403925-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71016881998067","-74.00920505379793"
"N/E/C John st & dutch st","2403845","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.709079932923565","-74.00777999201756"
"N/E/C John st & dutch st","2403845-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.709079932923565","-74.00777999201756"
"N/E/C Maiden La & Broadway","1401738","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.7098217336504","-74.0098086674591"
"N/E/C Maiden La & Broadway","1401738-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.7098217336504","-74.0098086674591"
"N/E/C Maiden Ln & Water St","2403837","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70667179526002","-74.00656744586331"
"N/E/C Maiden Ln & Water St","2403837-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70667179526002","-74.00656744586331"
"N/E/C Park Pl & Church St","2403843","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.713259883465064","-74.00920322637194"
"N/E/C Park Pl & Church St","2403843-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.713259883465064","-74.00920322637194"
"N/E/C Park Row & Beekman St","2404013","Trash","HC4","High","In Service","60%","Disabled","11 minutes ago","40.71166047396902","-74.0068386532796"
"N/E/C Park Row & Beekman St","2404013-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71166047396902","-74.0068386532796"
"N/E/C Pearl St & John St","2403987","Trash","HC4","High","In Service","60%","Disabled","10 hours ago","40.7073490677502","-74.0052748165329"
"N/E/C Pearl St & John St","2403987-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7073490677502","-74.0052748165329"
"N/E/C Pearl St & Whitehall St","2403918","Trash","HC4","High","In Service","60%","Disabled","24 minutes ago","40.70311504724519","-74.01296590307157"
"N/E/C Pearl St & Whitehall St","2403918-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70311504724519","-74.01296590307157"
"N/E/C Pearl St. & Hanover St","2404188","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.704502200248385","-74.00937233995057"
"N/E/C Pearl St. & Hanover St","2404188-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.704502200248385","-74.00937233995057"
"N/E/C Trinity & Rector St","2404256","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.707808389576776","-74.01281254816274"
"N/E/C Trinity & Rector St","2404256-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.707808389576776","-74.01281254816274"
